"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"648JXJ3J","thesis","2022","Pimentel, R. P. F. A.; Meyer, Gregory J.; Mihura, J. L.","Malingering severe psychopathology on the Rorschach task: Systematic review and meta-analysis","","","","","","","2022","2021-11-30 15:38:19","2022-11-10 04:41:00","","","","","","","","","","","","","Department of Psychology, University of Toledo","","","Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License (CC-BY-NC-SA)","Manuscript in preparation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IFMI434I","thesis","2021","Meyer, Gregory J.; Pimentel, R. P. F. A.; Pianowski, G.; Vanhoyland, M.","Coding criteria for Breaking the Card Boundary (BCB)","","","","","","","2021","2021-09-06 23:44:11","2022-11-10 04:41:44","","","","","","","","","","","","","Department of Psychology, University of Toledo","","","Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License (CC-BY-NC-SA)","Unpublished scoring manual","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5ZRJYZWV","journalArticle","2020","Gonçalves, André Pereira; Pimentel, Ruam Pedro Francisco de Assis; Carvalho, Lucas De Francisco","Funcionamento patológico da personalidade para predição da depressão, qualidade de vida e esperança","Interação em Psicologia","","1981-8076","10.5380/psi.v24i1.62784","https://revistas.ufpr.br/psicologia/article/view/62784","Estudos prévios apontam que níveis mais severos da personalidade (isto é, funcionamentos patológicos da personalidade – FPP) se associam com maior presença de sintomas depressivos, baixa qualidade de vida e esperança. Entretanto, não foram observados estudos utilizando conjuntamente essas três variáveis em um modelo focado no FPP. O objetivo deste trabalho foi verificar a capacidade preditiva dos níveis de FPP sobre qualidade de vida (QV), esperança e depressão. Participaram 475 sujeitos que responderam: Inventário Dimensional Clínico versão triagem (IDCP-triagem), Escala Baptista de depressão versão triagem (EBADEP-A-triagem), WHOQOL-Bref e Escala de Esperança de Herth (EEH). Por meio da modelagem de equações estruturais, indicadores de depressão foram positivamente preditos pelo FPP, enquanto os de QV e esperança foram negativamente preditos, tal qual as hipóteses do estudo. Estes achados demonstram a alta capacidade preditiva do FPP sobre depressão, QV e esperança. Na clínica, ao observar perfil que combine estas características pode ser indicado a necessidade da avaliação dos aspectos patológicos da personalidade.","2020-04-30","2020-08-22 21:09:52","2020-08-22 21:09:52","2020-08-22 21:09:52","","","1","24","","Inter. Psicol.","","","","","","","","pt","All rights reserved","","","","DOI.org (Crossref)","","","","/Users/ruampimentel/Library/CloudStorage/OneDrive-UniversityofToledo/Books and Papers/Gonçalves et al_2020_Funcionamento patológico da personalidade para predição da depressão, qualidade de vida e esperança.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G458XEPM","conferencePaper","2020","Pimentel, R. P. F. A.; Meyer, Gregory J.","Sentiment Analysis in Rorschach responses [e-poster for online conference].","","","","","","","2020","2022-01-10 01:53:47","2022-01-12 04:20:17","","","","","","","","","","","","","","Online","","Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License (CC-BY-NC-SA)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Brazilian Institute of Psychological Assessment (Instituto Brasileiro de Avaliação Psicológica)","","","","","","","","","","","","","","",""
"4Q7SXVGT","conferencePaper","2016","Pimentel, R. P. F. A.; Tavares, M. D.","What do we know about the Source Memory in Aging? A review [Paper presentation]","","","","","","","2016","2022-01-10 02:00:56","2022-01-10 02:02:01","","","","","","","","","","","","","","Brasília, Brazil","","Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License (CC-BY-NC-SA)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Presented at XV Brazilian Congress of the Brazilian Society of Neuropsychology (SBP; Sociedade Brasileira de Psicologia).","","","","","","","","","","","","","","",""
"3NTKLW56","conferencePaper","2018","Pimentel, R. P. F. A.; Tavares, M. D.","The influence of emotional valence over Source Memory in Aging [Paper Presentation]","","","","","","","2018","2022-01-10 01:59:59","2022-01-10 02:00:39","","","","","","","","","","","","","","","","Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License (CC-BY-NC-SA)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Presented at XLI annual meeting of the Brazilian Society of Neuroscience and Behavior (SBNeC; Sociedade Brasileira de Neurociência e Comportamento)","","","","","","","","","","","","","","",""
"VXX4AQGV","conferencePaper","2018","Pimentel, R. P. F. A.; Villemor-Amaral, A. E.","Relation between R-PAS and BFI2 moderate by R-PAS self-perception indicators: preliminary studies [Paper presentation]","","","","","","","2018","2022-01-10 01:58:35","2022-01-10 01:59:33","","","","","","","","","","","","","","São Paulo, Brazil","","Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License (CC-BY-NC-SA)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","V Brazilian Congress of Psychology: Science and Profession (CBP; Congresso Brasileiro de Psicologia)","","","","","","","","","","","","","","",""
"SYPDTQ68","journalArticle","2017","Brandão, Pierre Soares; Neto, Ivo Vieira de Sousa; Rauber, Suliane Beatriz; Pimentel, Ruam Pedro Francisco de Assis; Zukowski, Michelle Sales; Fagundes, Fabiano; Campbell, Carmen Silvia Grubert","Impacto de Exergames na qualidade de vida de idosos","Fisioterapia Brasil","","2526-9747","10.33233/fb.v18i3.1058","https://portalatlanticaeditora.com.br/index.php/fisioterapiabrasil/article/view/1058","Introdução: A Qualidade de Vida (QV) está relacionada a interações de aspectos fí­sico, psicológico, social e ambiental do ser humano. Com o aumento da expectativa de vida em todo o mundo, surgiu a necessidade de se desenvolver estratégias para manutenção da QV durante o envelhecimento. Os exergames têm sido considerados uma possibilidade de intervenção lúdica para manutenção e melhora da QV em todas as idades. Objetivo: Avaliar a influência de exergames que utilizam o Kinect sobre a QV de idosos sedentários. Métodos: Seis idosos (n = 2M; n = 4F; 64,83 ± 4,07 anos) participaram de 2 sessões semanais de 30 min de atividade de jogos com Kinect durante seis meses. A versão curta do questionário World Health Organization Quality of Life (WHOQOL) foi aplicada pré e pós-intervenção. Resultados: Tanto a QV Geral quanto o Domí­nio Ambiental melhoraram significativamente após a intervenção (67,72 ± 10,95 vs. 70,82 ± 9,10, p = 0,01; 55,38 ± 3,50 vs. 64,06 ± 6,47, p = 0,02) respectivamente. Já os domí­nios Fí­sico e Psicológico não apresentaram alteração significativa após a intervenção (67,26 ± 19,35 vs. 72,02 ± 15,87, p = 0,45; 70,13 ± 22,42 vs. 73,61 ± 7,75, p = 0,69) respectivamente. Conclusão: A intervenção com jogos de videogame ativo com Kinect interferiu positivamente na QV geral e no domí­nio ambiental dos idosos participantes do estudo.Palavras-chave: qualidade de vida, idoso, exergames.","2017-06-25","2022-01-10 01:52:09","2023-02-18 22:58:04","2022-01-10 01:52:09","320-328","","3","18","","","","","","","","","","pt","Copyright (c) 2017 Pierre Soares Brandão, Ivo Vieira de Sousa Neto, Suliane Beatriz Rauber, Ruam Pedro Francisco de Assis Pimente, Michelle Sales Zukowski, Fabiano Fagundes, Carmen Silvia Grubert Campbell","","","","portalatlanticaeditora.com.br","","Number: 3","","/Users/ruampimentel/Library/CloudStorage/OneDrive-UniversityofToledo/Books and Papers/Brandão et al - 2017 - Impacto de Exergames na qualidade de vida de idosos.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I8FMGB7D","presentation","2020","Pianowski, G.; Pimentel, R. P. F. A.","Sistema de Avaliação por Performance no Rorschach: Uma Breve Introdução ao R-PAS (Rorschach Perfomance Assessment System: A brief introduction to R-PAS)","","","","","","","2020-10-31","2022-05-09 22:54:43","2022-05-09 22:57:53","","","","","","","","","","","","","","Online","","All rights reserved","8hrs Workshop","","","","","","","","","workshop","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Hogrefe Brazil","","","","","","","","","","","","","","","",""
"FN736UM7","presentation","2022","Pimentel, R. P. F. A.; Meyer, G. J.; Pianowski, G.","Avanços digitais na aplicação do teste de Rorschach: Uso do aplicativo de administração do R-PAS (Digital advances in the administration of the Rorschach test: Use of the R-PAS administration app)","","","","","","","2022-05-13","2022-05-09 18:05:58","2022-05-09 22:54:25","","","","","","","","","","","","","","Online","","All rights reserved","Coordenated Session","","","","","In Uso clinico e avanços psicométricos do R-PAS para uso remoto (Clinical use and psychometric advances of the R-PAS for remote use) [Coordenated Session].","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X Congresso da ASBRo (X ASBRo Congress)","","","","","","","","","","","","","","","",""
